UID	CMPD_ID	ISOMER_ID	CLUSTER_ID	ENERGY	INCHI_KEY	CANON_SMILES	ISO_SMILES
AD3CC00340784-I00-C01	AD3CC00340784	0	1	68.50785585420624	MTDBGUSQNDHXBI-UHFFFAOYSA-N	COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Cl)c2Cl)cc1	COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Cl)c2Cl)cc1
AD3CC00340998-I00-C00	AD3CC00340998	0	0	-38.68266216805702	ZZOGFCMOZLMQMZ-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)on1	CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)on1
AD3CC00354003-I00-C00	AD3CC00354003	0	0	24.252187665964545	SDUWPCYMTHMQAZ-WGSAOQKQSA-N	Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O	Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O
AD3CC00356792-I00-C00	AD3CC00356792	0	0	72.46974964414063	BWORNNDZQGOKBY-UHFFFAOYSA-N	COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)oc2c1	COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)oc2c1
AD3CC00375362-I00-C00	AD3CC00375362	0	0	50.438853348616185	XMEBUFZUJWSUHD-UHFFFAOYSA-N	Fc1ccc(-c2cc(-c3ccc(Cl)cc3)oc2-c2ccncc2)cc1	Fc1ccc(-c2cc(-c3ccc(Cl)cc3)oc2-c2ccncc2)cc1
AD3CC00383967-I00-C00	AD3CC00383967	0	0	-92.96752805146252	SVRAGOOKTLUHES-UHFFFAOYSA-N	CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1	CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1
AD3CC00393133-I00-C01	AD3CC00393133	0	1	104.72732739678467	HDESVHGUWVZPSL-UHFFFAOYSA-N	COc1cc2[nH]ccc2cc1C(=O)N1CCN(Cc2ccccc2)CC1	COc1cc2[nH]ccc2cc1C(=O)N1CCN(Cc2ccccc2)CC1
AD3CC00393385-I00-C01	AD3CC00393385	0	1	95.23541447498532	YARBDUGVXZXLKZ-DLBZAZTESA-N	C[C@H]1CN(C(=O)c2ccc3[nH]ccc3c2)[C@H](C)CN1Cc1ccccc1	C[C@H]1CN(C(=O)c2ccc3[nH]ccc3c2)[C@H](C)CN1Cc1ccccc1
AD3CC00406477-I00-C00	AD3CC00406477	0	0	52.026213035464245	PDLOZSUJEHDJCF-UHFFFAOYSA-N	O=c1ncn2nc(Sc3cccc(Cl)c3)ccc2c1-c1c(Cl)cccc1Cl	O=c1ncn2nc(Sc3cccc(Cl)c3)ccc2c1-c1c(Cl)cccc1Cl
AD3CC00406848-I00-C00	AD3CC00406848	0	0	55.6836623761845	WYGPCAVWWUKTAF-UHFFFAOYSA-N	O=c1ncn2nc(Sc3ccccc3O)ccc2c1-c1c(Cl)cccc1Cl	O=c1ncn2nc(Sc3ccccc3O)ccc2c1-c1c(Cl)cccc1Cl
AD3CC00422588-I00-C00	AD3CC00422588	0	0	53.898875624224	IPYHSGOSLLXUJY-UHFFFAOYSA-N	c1csc(-c2n[nH]cc2-c2ccnc3ccccc23)c1	c1csc(-c2n[nH]cc2-c2ccnc3ccccc23)c1
AD3CC00422631-I00-C00	AD3CC00422631	0	0	40.879455781347694	DIDDNVPEZKJYOM-UHFFFAOYSA-N	Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1	Brc1cccc(-c2[nH]ncc2-c2ccnc3ccccc23)n1
AD3CC00423514-I00-C00	AD3CC00423514	0	0	36.65929589211237	HNCFDOXCWPGCQS-UHFFFAOYSA-N	O=C1NCc2nc(Sc3cccc(Cl)c3)ccc2N1c1c(Cl)cccc1Cl	O=C1NCc2nc(Sc3cccc(Cl)c3)ccc2N1c1c(Cl)cccc1Cl
AD3CC00423515-I00-C00	AD3CC00423515	0	0	57.10971562487011	PPOVYJFOYAQPQN-UHFFFAOYSA-N	O=C1NCc2nc(Sc3ccccc3C(F)(F)F)ccc2N1c1c(Cl)cccc1Cl	O=C1NCc2nc(Sc3ccccc3C(F)(F)F)ccc2N1c1c(Cl)cccc1Cl
AD3CC00423563-I00-C00	AD3CC00423563	0	0	52.94076297827727	VQKZUBKJYLJTPX-UHFFFAOYSA-N	Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl	Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl
AD3CC00423607-I00-C00	AD3CC00423607	0	0	44.77879266452169	NWCGTMMTILRVAV-UHFFFAOYSA-N	Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl	Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl
AD3CC00440629-I01-C00	AD3CC00440629	1	0	45.1946019333031	ASWWEASHSSNEMM-UHFFFAOYSA-N	C[S+]([O-])c1cccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1	C[S@@+]([O-])c1cccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1
